,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity
PCA + K-Means,0.32381120324134827,131.66613131057252,1.3552449123135557,0.13259998393710123,0.16304404479861637,0.46484375
VAE + K-Means,0.4127346873283386,755.5675143273701,0.8772339801321,0.12342567341583914,0.17910855491376743,0.4375
VAE + Agglomerative,0.410719096660614,740.4164359876712,0.9024382150471072,0.11603468479558929,0.16373697585844832,0.4296875
VAE + DBSCAN,0.0,0.0,inf,0.0,0.0,0.0
VAE + Spectral,-0.29816994071006775,0.2612126148650571,4.233963972978096,0.005045072949479753,0.04173736447361452,0.296875
